episode,total_reward,steps,detection_rate,false_positive_rate,avg_threat_level,avg_loss
0,54.2,100,0.74,0.0,0.787525,1.7743784511411511
1,190.6,100,0.88,0.0,0.787525,0.549542730897665
2,239.1,100,0.9,0.0,0.787525,1.3739465910196305
3,272.3,100,0.87,0.0,0.787525,1.264415712952614
4,296.6,100,0.9,0.0,0.787525,0.7298419615626335
5,398.5,100,0.97,0.0,0.787525,1.529897144138813
6,428.3,100,0.98,0.0,0.787525,1.4498593705892562
7,422.2,100,0.98,0.0,0.787525,1.0040038466453551
8,469.1,100,1.0,0.0,0.787525,1.6983535903692246
9,437.5,100,0.98,0.0,0.787525,1.5990440875291825
10,478.0,100,1.0,0.0,0.787525,1.316045849919319
11,461.0,100,0.98,0.0,0.787525,1.799663707613945
12,474.3,100,1.0,0.0,0.787525,1.7264239263534547
13,472.0,100,1.0,0.0,0.787525,1.579925080537796
14,451.1,100,0.99,0.0,0.787525,2.0712503784894944
15,464.5,100,0.99,0.0,0.787525,1.9712840050458909
16,481.0,100,1.0,0.0,0.787525,1.7032289999723433
17,465.5,100,0.98,0.0,0.787525,2.1707358503341676
18,467.0,100,0.99,0.0,0.787525,2.0268260729312897
19,487.0,100,1.0,0.0,0.787525,1.601826866865158
20,448.1,100,0.98,0.0,0.787525,1.9170550644397735
21,466.0,100,1.0,0.0,0.787525,1.9478999251127243
22,484.0,100,1.0,0.0,0.787525,1.4831342440843582
23,481.3,100,1.0,0.0,0.787525,1.9847371742129325
24,472.8,100,0.99,0.0,0.787525,2.0152995002269747
25,466.3,100,0.99,0.0,0.787525,1.7012364482879638
26,486.3,100,1.0,0.0,0.787525,2.232788693904877
27,464.0,100,0.98,0.0,0.787525,2.0160687690973282
28,440.5,100,0.98,0.0,0.787525,1.7033577930927277
29,465.8,100,0.99,0.0,0.787525,2.208157256245613
